视频序号,视频标题,发布时间,播放量,游客播放占比,粉丝观看率,涨粉量,点赞量,评论量,弹幕量,收藏量,投币量,转发量,平均播放进度
1,【(G)I-DLE】谁能问鼎娃曲TOP1？｜35分钟回顾 (G)I-DLE 生涯66首曲目及个人向排名,2024年09月22日 13:27:09,35.1万,99.30%,32%,235,6980,439,2963,1.4万,2068,207,27.70%
2,“我 们 的 共 鸣 与 自 由”｜2024年KPOP女团曲100首年度主题向盘点,2024年12月31日 20:00:00,337910,98%,45.50%,894,1.3万,245,2700,1.4万,5296,769,19%
3,从群嘲到封神！Fe3O4背后，是她们超进化的故事…｜NMIXX《Fe3O4》三部曲系列深度解读,2025年03月30日 11:00:00,240429,96.80%,35.60%,1002,1.9万,730,5694,1.1万,1.5万,1933,20.40%
4,KPOP女团音乐变无趣了？我不同意！｜50首歌盘点2024女性KPOP音乐【1-9月】,2024年10月13日 11:30:00,23.1万,98.10%,58.40%,1599,1.2万,479,2550,9113,6273,930,36%
5,【𝓣𝓦𝓘𝓒𝓔】70分钟感受登顶女团的音乐成长史！｜TWICE138首韩英曲目全盘点及个人向排名,2025年01月28日 12:00:00,14.2万,96.10%,26.30%,491,1.2万,358,3355,8857,7561,526,24.50%
6,你的KPOP年专是？｜2024女团女solo年度专辑/EP推荐【个人向】,2024年12月15日 11:30:00,7.1万,93.40%,41.20%,465,2602,310,2800,1538,879,164,48.30%
7,黑 怕，但 女 团【2024泛KPOP女团Hip-Hop音乐盘点】,2024年11月03日 17:45:00,5.9万,95.40%,30.50%,278,1936,195,968,989,627,117,37.90%
8,【TOP100】“我 们 与 她 们 的 十 年”｜十年KPOP女艺人单曲盘点排行（个人向）,2025年03月08日 17:49:55,53047,91.10%,25.70%,154,2790,113,1102,2761,1409,97,32.30%
9,乐评女王一变四！本月少女解约后迎来黄金时代？｜ARTMS/Loossemble/Chuu/Yves音乐作品盘点,2025年05月04日 11:30:00,240429,91.30%,19.30%,215,2599,322,518,1557,1708,252,26.40%
10,【𝓡𝓮𝓭 𝓥𝓮𝓵𝓿𝓮𝓽】永不落幕的KPOP概念天花板！｜Red Velvet 130首全曲目盘点及个人向排名,2025年04月11日 16:44:19,23122,86.90%,16.10%,56,3410,118,433,1510,982,81,22.50%